[Parsed_volumedetect_2 @ 0x863008e40] n_samples: 0
[Parsed_ebur128_1 @ 0x863009200] t: 0.0999792  TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -6.9  -6.9 dBFS  TPK:  -6.9  -6.9 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 0.200979   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -9.0  -9.0 dBFS  TPK:  -6.9  -6.9 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 0.300979   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK: -16.1 -16.1 dBFS  TPK:  -6.9  -6.9 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 0.400979   TARGET:-23 LUFS    M: -11.4 S:-120.7     I: -11.4 LUFS       LRA:   0.0 LU  FTPK:  -0.7  -0.7 dBFS  TPK:  -0.7  -0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 0.500979   TARGET:-23 LUFS    M: -10.2 S:-120.7     I: -10.8 LUFS       LRA:   0.0 LU  FTPK:  -1.7  -1.7 dBFS  TPK:  -0.7  -0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 0.600979   TARGET:-23 LUFS    M: -10.4 S:-120.7     I: -10.6 LUFS       LRA:   0.0 LU  FTPK: -17.0 -17.0 dBFS  TPK:  -0.7  -0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 0.700979   TARGET:-23 LUFS    M: -10.2 S:-120.7     I: -10.5 LUFS       LRA:   0.0 LU  FTPK:  -2.9  -2.9 dBFS  TPK:  -0.7  -0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 0.800979   TARGET:-23 LUFS    M: -10.9 S:-120.7     I: -10.6 LUFS       LRA:   0.0 LU  FTPK:  -0.1  -0.1 dBFS  TPK:  -0.1  -0.1 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 0.900979   TARGET:-23 LUFS    M:  -9.7 S:-120.7     I: -10.4 LUFS       LRA:   0.0 LU  FTPK:  -1.1  -1.1 dBFS  TPK:  -0.1  -0.1 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 1.000979   TARGET:-23 LUFS    M:  -9.5 S:-120.7     I: -10.3 LUFS       LRA:   0.0 LU  FTPK:  -6.7  -6.7 dBFS  TPK:  -0.1  -0.1 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 1.100979   TARGET:-23 LUFS    M:  -9.6 S:-120.7     I: -10.2 LUFS       LRA:   0.0 LU  FTPK:  -8.6  -8.6 dBFS  TPK:  -0.1  -0.1 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 1.200979   TARGET:-23 LUFS    M: -11.6 S:-120.7     I: -10.3 LUFS       LRA:   0.0 LU  FTPK:  -7.2  -7.2 dBFS  TPK:  -0.1  -0.1 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 1.300979   TARGET:-23 LUFS    M: -11.9 S:-120.7     I: -10.5 LUFS       LRA:   0.0 LU  FTPK:   0.2   0.2 dBFS  TPK:   0.2   0.2 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 1.400979   TARGET:-23 LUFS    M: -12.0 S:-120.7     I: -10.6 LUFS       LRA:   0.0 LU  FTPK:  -5.1  -5.1 dBFS  TPK:   0.2   0.2 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 1.500979   TARGET:-23 LUFS    M: -10.7 S:-120.7     I: -10.6 LUFS       LRA:   0.0 LU  FTPK:  -3.9  -3.9 dBFS  TPK:   0.2   0.2 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 1.600979   TARGET:-23 LUFS    M: -10.4 S:-120.7     I: -10.6 LUFS       LRA:   0.0 LU  FTPK:  -4.1  -4.1 dBFS  TPK:   0.2   0.2 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 1.700979   TARGET:-23 LUFS    M: -13.0 S:-120.7     I: -10.7 LUFS       LRA:   0.0 LU  FTPK:  -2.4  -2.4 dBFS  TPK:   0.2   0.2 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 1.800979   TARGET:-23 LUFS    M: -10.1 S:-120.7     I: -10.7 LUFS       LRA:   0.0 LU  FTPK:  -0.1  -0.1 dBFS  TPK:   0.2   0.2 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 1.900979   TARGET:-23 LUFS    M:  -9.0 S:-120.7     I: -10.5 LUFS       LRA:   0.0 LU  FTPK:  -1.3  -1.3 dBFS  TPK:   0.2   0.2 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 2.000979   TARGET:-23 LUFS    M:  -8.2 S:-120.7     I: -10.4 LUFS       LRA:   0.0 LU  FTPK:  -3.2  -3.2 dBFS  TPK:   0.2   0.2 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 2.100979   TARGET:-23 LUFS    M:  -8.4 S:-120.7     I: -10.2 LUFS       LRA:   0.0 LU  FTPK:  -5.2  -5.2 dBFS  TPK:   0.2   0.2 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 2.200979   TARGET:-23 LUFS    M: -10.2 S:-120.7     I: -10.2 LUFS       LRA:   0.0 LU  FTPK: -20.1 -20.1 dBFS  TPK:   0.2   0.2 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 2.300979   TARGET:-23 LUFS    M: -12.5 S:-120.7     I: -10.3 LUFS       LRA:   0.0 LU  FTPK:  -4.7  -4.7 dBFS  TPK:   0.2   0.2 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 2.400979   TARGET:-23 LUFS    M: -11.5 S:-120.7     I: -10.4 LUFS       LRA:   0.0 LU  FTPK:   0.3   0.3 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 2.500979   TARGET:-23 LUFS    M: -11.0 S:-120.7     I: -10.4 LUFS       LRA:   0.0 LU  FTPK:  -3.6  -3.6 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 2.600979   TARGET:-23 LUFS    M: -10.5 S:-120.7     I: -10.4 LUFS       LRA:   0.0 LU  FTPK:  -4.5  -4.5 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 2.700979   TARGET:-23 LUFS    M: -11.2 S:-120.7     I: -10.4 LUFS       LRA:   0.0 LU  FTPK: -17.8 -17.8 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 2.800979   TARGET:-23 LUFS    M: -10.5 S:-120.7     I: -10.4 LUFS       LRA:   0.0 LU  FTPK:  -0.0  -0.0 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 2.900979   TARGET:-23 LUFS    M:  -8.8 S:-120.7     I: -10.4 LUFS       LRA:   0.0 LU  FTPK:  -0.1  -0.1 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 3.000979   TARGET:-23 LUFS    M:  -7.6 S: -10.1     I: -10.2 LUFS       LRA:  20.0 LU  FTPK:  -1.4  -1.4 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 3.100979   TARGET:-23 LUFS    M:  -6.8 S:  -9.9     I: -10.0 LUFS       LRA:  20.1 LU  FTPK:  -0.0  -0.0 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 3.200979   TARGET:-23 LUFS    M:  -8.2 S:  -9.9     I: -10.0 LUFS       LRA:  20.1 LU  FTPK: -15.5 -15.5 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 3.300979   TARGET:-23 LUFS    M: -10.2 S:  -9.9     I: -10.0 LUFS       LRA:  20.0 LU  FTPK:  -8.6  -8.6 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 3.400979   TARGET:-23 LUFS    M: -13.9 S: -10.3     I: -10.1 LUFS       LRA:   0.4 LU  FTPK: -15.4 -15.4 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 3.500979   TARGET:-23 LUFS    M: -22.7 S: -10.5     I: -10.1 LUFS       LRA:   0.5 LU  FTPK: -19.3 -19.3 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 3.600979   TARGET:-23 LUFS    M: -22.5 S: -10.5     I: -10.1 LUFS       LRA:   0.5 LU  FTPK:  -8.7  -8.7 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 3.700979   TARGET:-23 LUFS    M: -25.5 S: -10.5     I: -10.1 LUFS       LRA:   0.6 LU  FTPK: -15.9 -15.9 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 3.800979   TARGET:-23 LUFS    M: -25.7 S: -10.8     I: -10.1 LUFS       LRA:   0.9 LU  FTPK: -13.5 -13.5 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 3.900979   TARGET:-23 LUFS    M: -19.5 S: -11.1     I: -10.2 LUFS       LRA:   1.2 LU  FTPK:  -1.4  -1.4 dBFS  TPK:   0.3   0.3 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 4.000979   TARGET:-23 LUFS    M: -10.4 S: -10.6     I: -10.2 LUFS       LRA:   1.2 LU  FTPK:   0.4   0.4 dBFS  TPK:   0.4   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 4.100979   TARGET:-23 LUFS    M:  -7.2 S: -10.0     I: -10.1 LUFS       LRA:   1.2 LU  FTPK:   0.1   0.1 dBFS  TPK:   0.4   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 4.200979   TARGET:-23 LUFS    M:  -6.3 S:  -9.8     I:  -9.9 LUFS       LRA:   1.2 LU  FTPK:  -0.5  -0.5 dBFS  TPK:   0.4   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 4.300979   TARGET:-23 LUFS    M:  -6.1 S:  -9.9     I:  -9.7 LUFS       LRA:   1.2 LU  FTPK:  -0.2  -2.4 dBFS  TPK:   0.4   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 4.400979   TARGET:-23 LUFS    M:  -5.9 S:  -9.5     I:  -9.6 LUFS       LRA:   1.0 LU  FTPK:   0.4   0.2 dBFS  TPK:   0.4   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 4.500979   TARGET:-23 LUFS    M:  -5.6 S:  -9.0     I:  -9.4 LUFS       LRA:   1.3 LU  FTPK:   0.3   0.3 dBFS  TPK:   0.4   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 4.600979   TARGET:-23 LUFS    M:  -4.3 S:  -8.5     I:  -9.2 LUFS       LRA:   1.8 LU  FTPK:   0.3   0.2 dBFS  TPK:   0.4   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 4.700979   TARGET:-23 LUFS    M:  -3.2 S:  -8.0     I:  -8.7 LUFS       LRA:   2.3 LU  FTPK:   0.5   0.2 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 4.800979   TARGET:-23 LUFS    M:  -2.9 S:  -7.7     I:  -8.4 LUFS       LRA:   2.8 LU  FTPK:   0.2   0.1 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 4.900979   TARGET:-23 LUFS    M:  -3.8 S:  -7.8     I:  -8.2 LUFS       LRA:   3.0 LU  FTPK:  -0.0  -0.2 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 5.000979   TARGET:-23 LUFS    M:  -5.2 S:  -7.9     I:  -8.1 LUFS       LRA:   3.0 LU  FTPK:  -3.6  -3.8 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 5.100979   TARGET:-23 LUFS    M:  -5.6 S:  -7.6     I:  -8.1 LUFS       LRA:   3.1 LU  FTPK:   0.5   0.3 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 5.200979   TARGET:-23 LUFS    M:  -5.8 S:  -7.2     I:  -8.0 LUFS       LRA:   3.2 LU  FTPK:   0.0   0.1 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 5.300979   TARGET:-23 LUFS    M:  -4.9 S:  -7.0     I:  -7.9 LUFS       LRA:   3.6 LU  FTPK:   0.0   0.1 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 5.400979   TARGET:-23 LUFS    M:  -4.9 S:  -7.1     I:  -7.8 LUFS       LRA:   3.5 LU  FTPK:  -6.0  -4.8 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 5.500979   TARGET:-23 LUFS    M:  -6.3 S:  -7.1     I:  -7.8 LUFS       LRA:   3.5 LU  FTPK:  -3.7  -4.9 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 5.600979   TARGET:-23 LUFS    M:  -8.9 S:  -7.1     I:  -7.8 LUFS       LRA:   3.5 LU  FTPK:  -7.9  -7.0 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 5.700979   TARGET:-23 LUFS    M: -12.7 S:  -7.0     I:  -7.8 LUFS       LRA:   3.6 LU  FTPK:  -4.2  -6.0 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 5.800979   TARGET:-23 LUFS    M:  -9.7 S:  -7.0     I:  -7.9 LUFS       LRA:   3.6 LU  FTPK:   0.2   0.3 dBFS  TPK:   0.5   0.4 dBFS
